,BIC,LL,LR_down,LR_up,SSE,asymm_LR,best_model,bounded_weights,comb,comb_index,cost_type,feature_names,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,fit_to,gaze,gaze_bias,inv_temp,model_descr,sub_ID,sub_ind
35,71.419,-23.233,0.118,0.118,7.744,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.236,-1.058,-0.777,2.865,,joint,0,0.0,0.131,All Motives,8001,236
36,22.555,1.199,0.706,0.706,3.609,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.673,1.19,-1.798,0.745,,joint,0,0.0,0.299,All Motives,8002,237
37,9.599,7.677,1.663,1.663,2.948,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.023,1.346,0.257,0.336,,joint,0,0.0,0.426,All Motives,8003,238
38,27.776,-1.411,1.051,1.051,3.916,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.807,1.219,-1.248,0.222,,joint,0,0.0,0.485,All Motives,8004,239
39,50.25,-12.649,0.6679999999999999,0.6679999999999999,5.563,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.3730000000000002,3.022,-1.628,1.165,,joint,0,0.0,0.454,All Motives,8005,240
40,48.745,-11.896,2.397,2.397,5.434,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.205,0.303,-1.556,1.4269999999999998,,joint,0,0.0,0.218,All Motives,8006,241
41,99.9,-37.473,0.7290000000000001,0.7290000000000001,12.085,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.7009999999999998,-2.458,-0.23,3.2880000000000003,,joint,0,0.0,0.267,All Motives,8007,242
42,15.361,4.796,5.056,5.056,3.225,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.833,7.697,10.036,3.981,,joint,0,0.0,0.12,All Motives,8009,243
43,-22.738000000000003,23.846,0.688,0.688,1.778,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.371,1.065,1.4069999999999998,1.378,,joint,0,0.0,0.608,All Motives,8010,244
44,91.491,-33.269,0.188,0.188,10.597,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.99,3.737,-0.285,-2.107,,joint,0,0.0,0.265,All Motives,8011,245
45,11.254,6.85,4.063,4.063,3.025,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,4.444,10.279000000000002,1.6780000000000002,4.492,,joint,0,0.0,0.125,All Motives,8012,246
46,20.489,2.232,4.327,4.327,3.495,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,11.919,17.878,-3.428,-2.27,,joint,0,0.0,4.944,All Motives,8013,247
47,51.75100000000001,-13.399,0.948,0.948,5.695,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.375,2.241,-1.229,-0.333,,joint,0,0.0,0.404,All Motives,8014,248
48,25.632,-0.339,0.942,0.942,3.787,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.693,8.055,-0.753,-0.212,,joint,0,0.0,0.28300000000000003,All Motives,8015,249
49,-3.906,14.43,0.6759999999999999,0.6759999999999999,2.387,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.324,-0.18,2.491,0.13,,joint,0,0.0,0.337,All Motives,8016,250
50,53.144,-14.095,0.33,0.33,5.8210000000000015,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.205,-0.106,-0.073,-0.052000000000000005,,joint,0,0.0,1.243,All Motives,8017,251
51,-9.493,17.223,3.644,3.644,2.187,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,5.694,9.093,8.254,16.137,,joint,0,0.0,0.185,All Motives,8018,252
52,22.991,0.981,1.165,1.165,3.634,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.1060000000000003,2.081,-2.172,-0.18,,joint,0,0.0,0.35700000000000004,All Motives,8019,253
53,-30.361,27.657,0.977,0.977,1.579,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.696,2.222,0.8170000000000001,0.506,,joint,0,0.0,0.378,All Motives,8020,254
54,32.975,-4.011,0.6679999999999999,0.6679999999999999,4.247,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.7510000000000003,0.992,-0.954,-1.161,,joint,0,0.0,0.35100000000000003,All Motives,8021,255
55,9.946,7.504,1.074,1.074,2.964,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.381,1.875,-1.374,1.939,,joint,0,0.0,0.4,All Motives,8022,256
56,56.118,-15.582,0.173,0.173,6.097,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-2.317,-0.166,1.052,-1.894,,joint,0,0.0,0.214,All Motives,8023,257
57,-28.433000000000003,26.693,0.8320000000000001,0.8320000000000001,1.6269999999999998,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.665,5.792999999999998,-2.252,-0.23,,joint,0,0.0,0.32,All Motives,8024,258
58,21.992,1.481,1.6980000000000002,1.6980000000000002,3.574,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.893,2.341,0.141,-1.036,,joint,0,0.0,0.402,All Motives,8025,259
59,2.138,11.408,0.588,0.588,2.623,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.763,2.27,-1.324,0.411,,joint,0,0.0,0.457,All Motives,8026,260
60,3.772,10.59,0.88,0.88,2.6910000000000003,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.508,5.676,-0.943,-2.042,,joint,0,0.0,0.301,All Motives,8027,261
61,73.046,-24.046,0.374,0.374,7.943,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.241,1.026,-0.691,-1.6369999999999998,,joint,0,0.0,0.272,All Motives,8028,262
62,55.237,-15.142,0.262,0.262,6.0139999999999985,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,4.424,5.766,-0.882,-0.201,,joint,0,0.0,0.736,All Motives,8029,263
63,-13.503,19.228,1.043,1.043,2.0540000000000003,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.847,-1.269,2.7880000000000003,4.217,,joint,0,0.0,0.29600000000000004,All Motives,8030,264
64,28.715,-1.881,2.5660000000000003,2.5660000000000003,3.974,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,7.474,8.956,-7.814,2.199,,joint,0,0.0,0.124,All Motives,8031,265
65,30.399,-2.7230000000000003,1.525,1.525,4.08,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.264,2.47,-3.5010000000000003,1.06,,joint,0,0.0,0.248,All Motives,8032,266
66,7.456,8.749,1.124,1.124,2.85,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-1.304,2.806,-2.544,-3.008,,joint,0,0.0,0.124,All Motives,8035,267
67,64.67,-19.858,1.341,1.341,6.97,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-4.198,6.67,0.8340000000000001,0.812,,joint,0,0.0,0.398,All Motives,8036,268
68,25.375,-0.211,0.33,0.33,3.772,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.026,0.68,-0.054000000000000006,0.179,,joint,0,0.0,1.14,All Motives,8037,269
69,28.281,-1.664,0.381,0.381,3.947,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.639,5.542999999999998,0.008,-1.714,,joint,0,0.0,0.272,All Motives,8038,270
70,-39.919,32.436,1.155,1.155,1.36,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.446,0.395,-1.046,1.175,,joint,0,0.0,0.485,All Motives,8039,271
71,38.688,-6.867000000000001,0.5720000000000001,0.5720000000000001,4.644,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.941,0.391,0.33,-2.18,,joint,0,0.0,0.359,All Motives,8040,272
72,0.835,12.059,0.8079999999999999,0.8079999999999999,2.57,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.232,0.616,-0.89,-0.125,,joint,0,0.0,0.962,All Motives,8041,273
73,49.605,-12.326,0.512,0.512,5.5070000000000014,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.852,3.289,-1.276,0.536,,joint,0,0.0,0.591,All Motives,8042,274
74,9.94,7.5070000000000014,0.618,0.618,2.963,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.506,1.362,-0.877,-0.873,,joint,0,0.0,0.251,All Motives,8043,275
75,49.691,-12.369000000000002,0.471,0.471,5.515,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.248,3.333,-0.596,-1.822,,joint,0,0.0,0.511,All Motives,8044,276
76,-6.023,15.488,0.24,0.24,2.309,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.664,4.48,-0.426,-0.3,,joint,0,0.0,0.34700000000000003,All Motives,8045,277
77,-26.873,25.913,0.179,0.179,1.6669999999999998,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-1.446,3.312,-0.105,-0.527,,joint,0,0.0,0.263,All Motives,8046,278
78,85.171,-30.109,0.517,0.517,9.6,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.521,0.5870000000000001,0.08900000000000001,-1.717,,joint,0,0.0,0.341,All Motives,8047,279
79,4.918,10.018,0.422,0.422,2.74,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.352,3.4530000000000003,-0.073,-1.166,,joint,0,0.0,0.404,All Motives,8048,280
80,30.207,-2.627,3.405,3.405,4.0680000000000005,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,10.087,8.503,1.375,2.533,,joint,0,0.0,0.132,All Motives,8049,281
81,56.337,-15.692,4.319,4.319,6.1179999999999986,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.275,4.971,-3.337,8.3,,joint,0,0.0,0.067,All Motives,8050,282
82,-2.573,13.763,0.754,0.754,2.437,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.76,2.289,-0.977,-0.578,,joint,0,0.0,0.364,All Motives,8051,283
83,45.022,-10.035,2.206,2.206,5.127000000000002,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.402,2.03,-4.42,-4.504,,joint,0,0.0,0.166,All Motives,8052,284
84,39.143,-7.095,0.748,0.748,4.677,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.374,1.823,-1.4680000000000002,-1.49,,joint,0,0.0,0.36,All Motives,8053,285
85,50.396,-12.720999999999998,1.237,1.237,5.5760000000000005,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.484,1.4880000000000002,-1.197,1.621,,joint,0,0.0,0.444,All Motives,8054,286
86,-38.242,31.598000000000006,0.384,0.384,1.396,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.636,3.551,-0.912,0.363,,joint,0,0.0,0.417,All Motives,8055,287
87,48.864,-11.956,0.7340000000000001,0.7340000000000001,5.444,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.7090000000000001,0.747,-1.546,1.0759999999999998,,joint,0,0.0,0.22,All Motives,8056,288
88,50.865,-12.956,0.897,0.897,5.617000000000001,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.57,3.003,-0.11,-1.618,,joint,0,0.0,0.362,All Motives,8057,289
89,90.256,-32.651,0.534,0.534,10.394,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.7240000000000001,1.913,-1.276,1.642,,joint,0,0.0,0.304,All Motives,8058,290
90,33.707,-4.377,1.645,1.645,4.296,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.6030000000000002,2.833,0.758,-1.392,,joint,0,0.0,0.391,All Motives,8059,291
91,60.37300000000001,-17.71,0.56,0.56,6.516,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.867,-0.004,-0.6890000000000001,-1.786,,joint,0,0.0,0.312,All Motives,8060,292
92,-16.2,20.577,1.19,1.19,1.97,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.784,5.686,3.395,-2.018,,joint,0,0.0,0.312,All Motives,8061,293
93,-15.883,20.418,0.721,0.721,1.98,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.421,2.747,-1.655,0.285,,joint,0,0.0,0.585,All Motives,8062,294
94,-12.901,18.927,0.867,0.867,2.074,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.175,0.272,1.588,2.059,,joint,0,0.0,0.484,All Motives,8063,295
95,-5.93,15.442,9.296,9.296,2.313,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,13.237,6.291,11.06,18.355,,joint,0,0.0,4.971,All Motives,8065,296
96,47.287,-11.167,1.831,1.831,5.312,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,4.817,7.096,-0.83,-4.562,,joint,0,0.0,0.184,All Motives,8066,297
97,-52.381,38.667,0.76,0.76,1.119,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.306,2.178,-0.517,-1.285,,joint,0,0.0,0.147,All Motives,8067,298
98,-7.0779999999999985,16.016,2.477,2.477,2.271,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.148,0.486,2.705,-0.778,,joint,0,0.0,0.301,All Motives,8068,299
99,63.521,-19.284,0.254,0.254,6.845,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.708,0.632,-1.3219999999999998,2.122,,joint,0,0.0,0.299,All Motives,8069,300
100,-37.209,31.081,0.442,0.442,1.419,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.669,2.056,-0.899,-0.012,,joint,0,0.0,0.325,All Motives,8070,301
101,43.767,-9.407,0.19,0.19,5.027,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.3110000000000004,0.375,0.623,-0.5489999999999999,,joint,0,0.0,0.103,All Motives,8071,302
102,3.36,10.796,0.263,0.263,2.674,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-1.378,4.56,7.86,1.382,,joint,0,0.0,0.29,All Motives,8072,303
103,53.114,-14.08,0.799,0.799,5.818,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.375,3.172,-0.86,-1.045,,joint,0,0.0,0.368,All Motives,8073,304
104,19.412,2.7710000000000004,2.091,2.091,3.4360000000000004,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.108,1.055,0.21600000000000005,-0.154,,joint,0,0.0,0.305,All Motives,8074,305
105,0.508,12.223,0.618,0.618,2.557,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.163,1.611,-1.141,-1.115,,joint,0,0.0,0.464,All Motives,8075,306
106,54.527,-14.787,0.888,0.888,5.948,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.8,3.157,-0.594,0.488,,joint,0,0.0,0.35,All Motives,8076,307
107,28.224,-1.635,3.5610000000000004,3.5610000000000004,3.943,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,10.079,11.222,-3.5380000000000003,-2.651,,joint,0,0.0,0.085,All Motives,8077,308
108,41.842,-8.443999999999999,0.76,0.76,4.878,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.366,2.887,-0.987,-0.521,,joint,0,0.0,0.434,All Motives,8078,309
109,-23.584,24.268,0.471,0.471,1.755,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.0,2.113,-0.35,1.288,,joint,0,0.0,0.4320000000000001,All Motives,8079,310
110,33.309,-4.178,2.162,2.162,4.269,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.502,4.6,-2.306,-3.159,,joint,0,0.0,0.402,All Motives,8080,311
111,14.8,5.077,0.5479999999999999,0.5479999999999999,3.197,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.17,1.586,-1.364,-0.794,,joint,0,0.0,0.3670000000000001,All Motives,8081,312
112,29.088,-2.068,0.642,0.642,3.997,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.197,3.14,-1.473,0.27,,joint,0,0.0,0.474,All Motives,8083,313
113,53.775,-14.411,1.4169999999999998,1.4169999999999998,5.877999999999999,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,5.82,6.968,-2.329,0.952,,joint,0,0.0,0.317,All Motives,8084,314
114,-7.935,16.444000000000006,0.76,0.76,2.241,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.531,2.405,-2.5,0.944,,joint,0,0.0,0.342,All Motives,8085,315
115,25.155,-0.101,1.149,1.149,3.759,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.448,2.053,-0.723,-0.157,,joint,0,0.0,0.4,All Motives,8086,316
116,10.067,7.443,0.523,0.523,2.969,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.935,0.8809999999999999,-0.129,-0.6559999999999999,,joint,0,0.0,1.248,All Motives,8087,317
117,63.699,-19.373,1.818,1.818,6.864,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.194,4.832,-0.045,-0.882,,joint,0,0.0,0.219,All Motives,8088,318
118,52.209,-13.628,0.506,0.506,5.7360000000000015,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.271,2.135,-2.56,1.278,,joint,0,0.0,0.506,All Motives,8089,319
119,8.304,8.324,0.805,0.805,2.889,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.142,2.064,-0.828,-0.705,,joint,0,0.0,0.423,All Motives,8090,320
120,38.163,-6.605,0.19,0.19,4.606,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.883,3.228,-0.547,0.555,,joint,0,0.0,1.073,All Motives,8091,321
121,36.707,-5.877000000000002,0.691,0.691,4.502,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.013,2.388,-0.325,0.021,,joint,0,0.0,0.65,All Motives,8092,322
122,26.547,-0.797,1.279,1.279,3.841,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.038,0.386,-0.633,2.102,,joint,0,0.0,0.578,All Motives,8093,323
123,40.891,-7.9689999999999985,0.175,0.175,4.806,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.194,0.78,-0.063,0.096,,joint,0,0.0,2.173,All Motives,8094,324
124,64.243,-19.645,0.01,0.01,6.922999999999999,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-9.123,0.388,19.993,6.746,,joint,0,0.0,0.025,All Motives,8095,325
125,32.971,-4.009,1.213,1.213,4.247,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-4.126,4.959,-0.623,0.971,,joint,0,0.0,0.204,All Motives,8096,326
126,39.839,-7.443,1.044,1.044,4.728,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.917,3.705,-3.113,1.702,,joint,0,0.0,0.237,All Motives,8098,327
127,59.934,-17.49,1.73,1.73,6.472,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.633,0.105,-1.565,-1.558,,joint,0,0.0,0.257,All Motives,8099,328
128,56.124,-15.586,0.01,0.01,6.098,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,19.991,-19.204,-19.714,14.567,,joint,0,0.0,0.019,All Motives,8100,329
129,3.025,10.964,0.07200000000000001,0.07200000000000001,2.66,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.78,7.331,0.4,-3.982,,joint,0,0.0,0.208,All Motives,8101,330
130,40.768,-7.907,1.392,1.392,4.797,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.065,1.648,-0.957,-1.149,,joint,0,0.0,0.382,All Motives,8102,331
131,33.081,-4.064,1.03,1.03,4.254,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,5.207000000000002,6.056,-1.686,2.212,,joint,0,0.0,0.353,All Motives,8103,332
132,26.175,-0.611,0.251,0.251,3.819,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.1860000000000004,0.922,-0.584,-0.13699999999999998,,joint,0,0.0,0.287,All Motives,8104,333
133,70.23100000000001,-22.639,1.336,1.336,7.602,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.466,0.973,-0.841,-2.335,,joint,0,0.0,0.365,All Motives,8105,334
134,23.122,0.916,1.725,1.725,3.641,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.797,4.659,-5.088,1.569,,joint,0,0.0,0.241,All Motives,8106,335
135,9.314,7.82,0.722,0.722,2.934,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.344,2.177,-1.853,-0.219,,joint,0,0.0,0.44,All Motives,8107,336
136,75.852,-25.449,0.705,0.705,8.299,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-1.134,1.055,-1.779,-2.405,,joint,0,0.0,0.451,All Motives,8108,337
